Ticker,Date,Close,Shares Outstanding,Report Date,total debt,long term debt,fiscal year,beta,coe,weird tax rate,cod,market cap,Wacc
EXR,2018-12-31,90.48,127103750.0,2018-12-31,5062556000,562374000.0,2018,0.19,0.03545,-0.011786218633450307,0.027018715447295796,11500347300.0,0.031138652013080345
F,2018-12-31,7.65,3907051309.0,2018-12-31,220474000000,100720000000.0,2018,1.3,0.0965,0.14959723820483317,0.004400156027468092,29888942513.850002,0.014581541964360683
FARO,2018-12-31,40.64,17253011.0,2018-12-31,129635000,,2018,1.53,0.10915,-0.08161474330846863,0.00034735989509006055,701162367.04,0.09216139711084272
FAST,2018-12-31,26.14,571803838.0,2018-12-31,1018800000,497000000.0,2018,1.18,0.08990000000000001,0.23819655521783178,0.009460149195131527,14946952325.32,0.08464023533066947
FBHS,2018-12-31,37.99,140498981.0,2018-12-31,3784600000,1809000000.0,2018,1.67,0.11685000000000001,0.2737430167597765,0.015551181102362205,5337556288.190001,0.07346825477465911
FC,2018-08-31,25.6,27056000.0,2018-08-31,133375000,30320000.0,2018,1.56,0.11080000000000001,-0.06648550724637681,0.015234339268978443,692633600.0,0.0948525088963965
FCEL,2018-10-31,10.15,7969497.0,2018-10-31,163498000,14965000.0,2018,2.04,0.13720000000000002,0.05988202347613658,0.043752522966641796,80890394.55,0.06853593708122341
FCPT,2018-12-31,26.2,68204045.0,2018-12-31,644134000,615892000.0,2018,1.04,0.0822,0.003149379139570363,0.02447877305032804,1786945979.0,0.06554427363568033
FDX,2019-05-31,154.28,260574612.0,2019-05-31,36646000000,16617000000.0,2019,1.33,0.09815000000000002,0.17557251908396942,0.011403973148501884,40201451139.36,0.055641680575377314
FEIM,2019-04-30,12.05,8980000.0,2019-04-30,23682000,,2019,0.57,0.05635,-0.022644561261625507,0.0027687695296005404,108209000.0,0.04662469349690274
FELE,2018-12-31,42.88,46326000.0,2018-12-31,446020000,94379000.0,2018,1.07,0.08385000000000001,0.12366390658350424,0.01742704363033048,1986458880.0,0.07099962857149247
FET,2018-12-31,4.13,117411158.0,2018-12-31,799526000,517544000.0,2018,4.24,0.25820000000000004,0.04021511004377121,0.03214439555436596,484908082.53999996,0.11328451190277149
FGEN,2018-12-31,46.28,85432000.0,2018-12-31,352128000,,2018,1.57,0.11135,-0.0035301221608063926,0.024658334469283897,3953792960.0,0.1038370962564069
FII,2018-12-31,26.55,100812382.0,2018-12-31,504049000,135000000.0,2018,1.25,0.09375,0.24943107767731132,0.009223607228662292,2676568742.1,0.08004770416195152
FIS,2018-12-31,102.55,327488268.0,2018-12-31,13548000000,8670000000.0,2018,0.67,0.06185,0.19100091827364551,0.017318423383525246,33583921883.399998,0.04800405283887134
FISV,2018-12-31,73.49,398470777.0,2018-12-31,8969000000,5955000000.0,2018,0.83,0.07064999999999999,0.2366559485530546,0.01699966551455012,29283617401.73,0.05723370106781792
FIT,2018-12-31,4.97,252362841.0,2018-12-31,779609000,,2018,1.0,0.08,-0.009161408043792285,-0.007912068742151515,1254243319.77,0.04693875354351977
FIVE,2019-01-31,123.73,55759834.0,2019-01-31,337170000,,2018,1.22,0.09209999999999999,0.21981470957785687,-0.010831835572559836,6899164260.820001,0.08740997738955272
FIVN,2018-12-31,43.72,59210496.0,2018-12-31,251918000,196763000.0,2018,0.73,0.06515,3.7974683544303796,0.032127716161608144,2588682885.12,0.06162308664427993
FIZZ,2019-04-30,56.0,50678000.0,2019-04-30,120584000,0.0,2019,1.11,0.08605000000000002,0.2339824991706413,0.0013233928216015392,2837968000.0,0.08258540481965504
FL,2019-02-28,59.52,112890202.0,2019-02-28,1314000000,124000000.0,2018,1.33,0.09815000000000002,0.24123422159887797,-0.005410958904109589,6719224823.04,0.0813963297163058
FLIR,2018-12-31,43.54,138348046.0,2018-12-31,904456000,421948000.0,2018,1.57,0.11135,0.08035740451900497,0.010696308056997799,6023673922.84,0.09791658462867725
FLO,2018-12-31,18.47,228729585.0,2018-12-31,1587270000,990640000.0,2018,0.37,0.04535,0.20288495189210853,0.003947337252011315,4224635434.95,0.033816268395060925
FLR,2018-12-31,32.2,139653824.0,2018-12-31,5795587000,1661565000.0,2018,2.88,0.18339999999999998,0.3918904332519637,0.005481594875549276,4496853132.8,0.08256743891541404
FLS,2018-12-31,38.02,130856957.0,2018-12-31,2955497000,1414829000.0,2018,1.81,0.12455,0.2905930539954843,0.013817997446791522,4975181505.14,0.0822025133842793
FLT,2018-12-31,185.72,85845344.0,2018-12-31,7862297000,2748431000.0,2018,1.49,0.10694999999999999,0.25900422326218464,0.013915813661071313,15943197287.68,0.07525821701776457
FMC,2018-12-31,64.15,152520701.0,2018-12-31,6763900000,2145000000.0,2018,1.24,0.0932,0.11940298507462688,0.015545617173524151,9784202969.150002,0.06012504445854837
FND,2018-12-31,25.9,97588539.0,2018-12-31,649782000,141834000.0,2018,2.08,0.1394,0.050635704013596516,0.01084122059398383,2527543160.1,0.11264337081782201
FNJN,2018-12-31,2.51,27568656.0,2018-12-31,9914000,,2018,0.95,0.07725,0.279680444598819,0.04063949969739762,69197326.55999999,0.0715925863342014
FNKO,2018-12-31,13.15,48544000.0,2018-12-31,373086000,216704000.0,2018,2.53,0.16415,0.1466935921393695,0.046031772835217616,638353600.0,0.11701445478306366
